PAYDEX,CCS_GRADE,YEARMONTH,CREDIT_LIMIT,GALLONS,FUEL_SPEND,NONFUEL_SPEND,TOT_SPEND,WO_AMOUNT,PAYMENT_AMOUNT,NO_OF_PAYMENT,FUEL_NET_REV,NONFUEL_NET_REV,NET_FEE_REV,TOT_NET_REV,LOB_REPORTING,PORFOLIO,DEPOSIT_FLAG,LOCK_REASON,LOCK_TYPE,LOCK_CODE,Expr6,LOCK_DAYS,DUE_DAYS,TERM_DAYS,SNAPSHOT_DATE,CURRENT_BALANCE,UNBILLED_BALANCE,BAL_90_PLUS,BAL_61_90,BAL_31_60,BAL_1_30,VANTAGE_SCORE,REFRESH_MONTH,SEGMENT,Expr7,QUARTER_REFRESHED,NSF_PMTS,NSF_AMOUNT,Expr11,FLEETCOR_OPEN_DATE,CITY,STATE,ZIP,DAYS_PAST_DUE
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202304,2,223008,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202306,43,126835,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202305,29,147715,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202306,7,138679,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202309,3,303975,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202310,33,202551,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202303,14,230781,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202305,7,289273,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202305,12,173056,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
,X,202301,3000,135.11,508.96,0,508.96,926.8,2215.69,2,11.29,0,458.83,470.12,NAL MC,FMMC,0,BAD AGENCY,PERM LOCK,I,3000,7,14,30,4/1/2023,0,0,0,0,0,0,,202306,45,291209,2022Q3,1,876.8,111690,7/23/2020,TULETA,TX,78162,
